id,session_id,level_id,question_index,question_text,selected_answer,is_correct,timestamp
3aa0af25-2391-f7ae-82d7-315ad42a2b6b,session_mock_1_3b5798,0,0,Mock question 1 (level 0),answer_0_correct,true,2026-07-08T10:01:03.000Z
f8266d68-7476-0411-e89f-539327a315f8,session_mock_1_3b5798,1,1,Mock question 2 (level 1),answer_1_wrong,false,2026-07-08T10:03:11.000Z
9ded7cb4-c96e-b531-2e0a-3ae3d88838c0,session_mock_1_3b5798,2,2,Mock question 3 (level 2),answer_2_correct,true,2026-07-08T10:05:04.000Z
aa06f050-69aa-0909-8d79-67fb76c9abf7,session_mock_1_3b5798,3,3,Mock question 4 (level 3),answer_3_correct,true,2026-07-08T10:07:13.000Z
ab1ddd4b-17bc-075f-350c-d0e5bbd0c7ab,session_mock_1_3b5798,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T10:09:09.000Z
19b05469-289b-81de-0161-c3c149b9ac31,session_mock_1_3b5798,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T10:11:01.000Z
9e5b0c95-373e-6999-3a6d-ac6d0ddf0a6e,session_mock_2_d02e8e,0,0,Mock question 1 (level 0),answer_0_correct,true,2026-07-08T10:31:10.000Z
1d31fb98-ad7c-182c-eb67-2123deec8172,session_mock_2_d02e8e,1,1,Mock question 2 (level 1),answer_1_correct,true,2026-07-08T10:33:00.000Z
a7685285-a70a-b8e4-7893-6d389033ddfb,session_mock_2_d02e8e,2,2,Mock question 3 (level 2),answer_2_wrong,false,2026-07-08T10:35:11.000Z
87e6396b-d845-90ba-fceb-448f6f8f5712,session_mock_2_d02e8e,3,3,Mock question 4 (level 3),answer_3_correct,true,2026-07-08T10:37:04.000Z
e6b15ab8-43ef-97dc-cb41-4fb022f9ec24,session_mock_2_d02e8e,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T10:39:11.000Z
b6d2ade3-0b46-5224-3def-e862a6c6c9f4,session_mock_2_d02e8e,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T10:41:18.000Z
447ef741-6127-8e53-7a6f-a0d3a330a966,session_mock_3_7bde69,0,0,Mock question 1 (level 0),answer_0_wrong,false,2026-07-08T11:01:06.000Z
0d3676f0-df8f-2f23-5512-2bcec702cf63,session_mock_3_7bde69,1,1,Mock question 2 (level 1),answer_1_correct,true,2026-07-08T11:03:15.000Z
3842d762-3329-6fee-35f8-d654a995063d,session_mock_3_7bde69,2,2,Mock question 3 (level 2),answer_2_correct,true,2026-07-08T11:05:15.000Z
6782a1bf-dcb6-162c-7fdb-8fb53bd45432,session_mock_3_7bde69,3,3,Mock question 4 (level 3),answer_3_correct,true,2026-07-08T11:07:18.000Z
39ae4d1b-a97f-1e69-54ff-8aa0b4c5a78d,session_mock_3_7bde69,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T11:09:16.000Z
adaac81d-e556-1db0-9934-fe17b698a4f3,session_mock_3_7bde69,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T11:11:00.000Z
7f5edf17-285f-c0fb-c42f-a8736a53d644,session_mock_4_022fa6,0,0,Mock question 1 (level 0),answer_0_correct,true,2026-07-08T11:31:07.000Z
